Date,,,,,,,,,
02월 21일,-29015,-2500,-4990,-19000,8000,,,,
02월 22일,-1000,-1500,-22340,-14000,-7260,-10800,-8000,-8000,40
02월 23일,-17000,114,,,,,,,
02월 24일,-21420,20000,100000,-25000,,,,,
02월 25일,-8500,25000,,,,,,,
02월 26일,-18730,-2500,163609,,,,,,
02월 27일,0,,,,,,,,
02월 28일,-10450,,,,,,,,
03월 01일,-5000,-2000,-50000,25,5000,10,,,
03월 02일,-4990,166,,,,,,,
03월 03일,0,,,,,,,,
03월 04일,-4100,-19000,-1390,20000,4100,,,,
03월 05일,,,,,,,,,
03월 06일,-3780,,,,,,,,
03월 07일,-4000,,,,,,,,
03월 08일,-10000,-3700,-7800,,,,,,
03월 09일,-21430,,,,,,,,
03월 10일,-3300,-24900,,,,,,,
03월 11일,-3000,-2300,-8000,-17900,-22000,,,,
03월 12일,-10000,,,,,,,,
03월 13일,,,,,,,,,
03월 14일,-4000,-19000,-11800,-1300,,,,,
03월 15일,,,,,,,,,
03월 16일,-2000,-7900,-15667,10,,,,,
03월 17일,-2500,-2000,-29900,-6790,100000,,,,
03월 18일,-1300,,,,,,,,
03월 19일,-27250,-7000,-11000,,,,,,
03월 20일,-3230,-7800,-3500,-13800,,,,,
03월 21일,-7463,,,,,,,,
03월 22일,-5990,,,,,,,,
03월 23일,-18800,-17311,-9270,18800,,,,,
03월 24일,-2000,-4300,-1300,,,,,,
03월 25일,-1350,-23750,-2690,2000,,,,,
03월 26일,-5270,,,,,,,,
03월 27일,-28000,1,10000,10000,,,,,
03월 28일,-10,-14100,-36000,-1000,15800,,,,
03월 29일,21750,-10450,-7000,-490,17000,,,,
03월 30일 ,-6200,,,,,,,,
03월 31일,,,,,,,,,
04월 01일,500000,235,,,,,,,
04월 02일,,,,,,,,,
04월 03일,-41377,-29560,,,,,,,
04월 04일,-8000,-2000,-2800,,,,,,
04월 05일,-30000,-3000,-17540,-4900,15,,,,
